name,short_name,type,street,house_number,postcode,town,lat,lon,name_de,name_fr,name_it,ror_id,wikidata_id,coara_signatory,dora_signatory,coara_member,grid_id,isni_id,crossref_funder_id,geonames_id,swissuniversities_id,swissuniversities_name,openalex_primary_id,openalex_ids,openorgs_ids
University of Teacher Education Schwyz,PHSZ,UTE,Zaystrasse,42.0,6410.0,Goldau,47.0493,8.5478,Pädagogische Hochschule Schwyz,Haute école pédagogique de Schwyz,Alta scuola pedagogica di Svitto,https://ror.org/00rqdn375,Q2044172,Yes,Yes,Yes,grid.466169.a,0000 0004 0613 7454,,2660573.0,PHSZ,Pädagogische Hochschule Schwyz PHSZ,I4210095907,I4210095907,openorgs____::0fcceab5dd79e17a094a22722c4dcc20
University of Teacher Education Valais,HEP-VS,UTE,Avenue du Simplon,13.0,1890.0,Brig,46.2201,7.0033,Pädagogische Hochschule Wallis,Haute École Pédagogique du Valais,Alta scuola pedagogica del Vallese,https://ror.org/040gs8e06,Q1001137,No,Yes,No,grid.466216.1,0000 0001 2178 3217,,2661394.0,PHVS,Haute école pédagogique du Valais | Pädagogische Hochschule Wallis HEP-VS | PH-VS,I4210141884,I4210141884,openorgs____::90c6559703955eea8e26c963944bab65
University of Teacher Education Vaud,HEP Vaud,UTE,Avenue de Cour,33.0,1007.0,Lausanne,46.516,6.6231,Pädagogische Hochschule Waadt,Haute École Pédagogique du Canton de Vaud,Alta scuola pedagogica del Canton Vaud,https://ror.org/01bvm0h13,Q3128595,Yes,Yes,No,grid.466224.0,0000 0004 0613 4050,,2659994.0,HEPVAUD,Haute école pédagogique du canton de Vaud HEP Vaud,I4210106586,I4210106586,openorgs____::c1bc33096341df2b7207c1af0cc7e6f5
University of Teacher Education Zug,PH Zug,UTE,Zugerbergstrasse,3.0,6300.0,Zug,47.1643,8.5161,Pädagogische Hochschule Zug,Haute école pédagogique de Zoug,Alta scuola pedagogica di Zugo,https://ror.org/05ghhx264,Q1676708,No,No,No,grid.466274.5,0000 0004 0449 2225,,2657908.0,PHZU,Pädagogische Hochschule Zug PH Zug,I4210146564,I4210146564,openorgs____::0c05e3681782b83db6ae65e775ea9f33
University of Teacher Education Zurich,PH Zurich,UTE,Lagerstrasse,2.0,8090.0,Zurich,47.3792,8.5323,Pädagogische Hochschule Zürich,Haute école pédagogique de Zurich,Alta scuola pedagogica di Zurigo,https://ror.org/01awgk221,Q1473647,Yes,Yes,Yes,grid.483054.e,0000 0000 9666 1858,,2657896.0,PHZRH,Pädagogische Hochschule Zürich PH Zürich,I4210111868,I4210111868,openorgs____::e1c084f24d8d99a30d4e2dccb0d60474
University of Teacher Education in Special Needs,HfH,UTE,Schaffhauserstrasse,239.0,8050.0,Zurich,47.4114,8.5463,Interkantonale Hochschule für Heilpädagogik,Haute école intercantonale de pédagogie curative,Alta scuola intercantonale di pedagogia curativa,https://ror.org/00w9q2c06,Q1666124,No,Yes,No,grid.466279.8,0000 0001 0710 6332,,2657896.0,HFH,Interkantonale Hochschule für Heilpädagogik Zürich HfH,I4210086400,I4210086400,openorgs____::7d5598463787c99a329b16d1db6c7050
Distance Learning University Switzerland,FernUni,Univ. Inst.,Überlandstrasse,12.0,3900.0,Brig,46.31667,7.98333,FernUni Schweiz,UniDistance Suisse,UniDistance Svizzera,https://ror.org/03exthx58,Q54485122,No,Yes,No,grid.508506.e,0000 0000 9105 9032,,2661394.0,SUFS,"Stiftung Universitäre Fernstudien Schweiz, Brig",I4210139595,I4210139595,openorgs____::4e838e37d2625093dfc4e6c44609b030
Faculty of Theology of Lugano,FTL,Univ. Inst.,Via Buffi,13,6900,Lugano,46.0108,8.9590,Theologische Fakultät Lugano,Faculté de Théologie de Lugano,Facoltà di Teologia di Lugano,,Q2418942,No,No,No,grid.446080.e,0000 0000 8775 4235,,2659836.0,FTL,Faculty of Theology of Lugano,,,
Franklin University Switzerland,FUS,Univ. Inst.,Via Ponte Tresa,29,6924,Lugano,46.01008,8.96004,Franklin University Switzerland,Franklin University Switzerland,Università Franklin Svizzera,https://ror.org/0217vcy92,Q4521759,No,No,No,grid.448816.7,0000 0004 0516 7248,,2659836,,Franklin University Switzerland,I903955410,I903955410,openorgs____::6861a2871cba47bf6624722e0b6ede2e
Graduate Institute of International and Development Studies,IHEID,Univ. Inst.,Chemin Eugène-Rigot,2.0,1202.0,Geneva,46.2232,6.1465,Hochschulinstitut für internationale Studien und Entwicklung,Institut de Hautes études Internationales et du Développement,Istituto di alti studi internazionali e dello sviluppo,https://ror.org/007ygn379,Q691686,No,No,No,grid.424404.2,0000 0001 2296 9873,,2660646.0,IHEID,"Institut de hautes études internationales et du développement, Genève, IHEID",I951315,I951315,openorgs____::5a76373b3d56e22c7ba49e252d9a79ec
Hochschulinstitut Schaffhausen,HSSH,Univ. Inst.,Rheinstrasse,10,8200,Schaffhausen,47.6973,8.6349,Hochschulinstitut Schaffhausen,Hochschulinstitut Schaffhausen,Hochschulinstitut Schaffhausen,https://ror.org/01h4pzb37,Q126208860,No,No,No,,,,2658761.0,HSSH,Hochschulinstitut Schaffhausen HSSH,I4399598448,I4399598448,openorgs____::abaf4ad58425ff3a7c3938b6479efc17
International Institute for Management Development,IMD,Univ. Inst.,Chemin de Bellerive,23,1001,Lausanne,46.516,6.6328,International Institute for Management Development,International Institute for Management Development,International Institute for Management Development,https://ror.org/04mv5gg87,Q667972,No,No,No,grid.462392.8,0000 0001 2110 4376,,2659994.0,IMD,IMD - International Institute for Management Development,I130154697,I130154697,
Schweizerisches Universitäres Institut für Traditionelle Chinesische Medizin,TCM UNI,Univ. Inst.,Langwiesstrasse,7,5330,Bad Zurzach,47.5876,8.2936,Schweizerisches Universitäres Institut für Traditionelle Chinesische Medizin,Schweizerisches Universitäres Institut für Traditionelle Chinesische Medizin,Schweizerisches Universitäres Institut für Traditionelle Chinesische Medizin,https://ror.org/05e5yjs79,Q126208821,No,No,No,,,,2657891.0,TCMUNI,Schweizerisches universitäres Institut für traditionelle chinesische Medizin SWISS TCM UNI,I4399598368,I4399598368,openorgs____::51e8a672e8dd17dbfc6eff42b2ebed5a
Staatsunabhängige Theologische Hochschule Basel,STH Basel,Univ. Inst.,Mühlestiegrain,50.0,4125.0,Riehen,47.5878,7.6441,Staatsunabhängige Theologische Hochschule Basel,STH Bâle,STH Basilea,https://ror.org/01pycny91,Q2325341,No,No,No,grid.469487.0,0000 0004 0495 9569,,3206590.0,STHB,Universitäre Theologische Hochschule Basel STH Basel,I4210116588,I4210116588,
Theologische Hochschule Chur,THC,Univ. Inst.,Alte Schanfiggerstrasse,7.0,7000.0,Chur,46.8479,9.5362,Theologische Hochschule Chur,Haute école de théologie de Coire,Facoltà di Teologia di Coira,https://ror.org/0326ky169,Q2418967,No,No,No,grid.483675.b,0000 0001 2375 1286,,2661169.0,THCH,Theologische Hochschule Chur,I4210136385,I4210136385,
César Ritz Colleges Switzerland,CRCS,UAS Inst.,Route Cantonale,51,1897,Le Bouveret,46.3867,6.8500,César Ritz Colleges Switzerland,César Ritz Colleges Switzerland,César Ritz Colleges Switzerland,https://ror.org/03pzk6650,Q5065463,No,Yes,No,grid.449158.5,0000 0004 0612 7889,,2658107.0,,,I2800144687,I2800144687,
Glion Institute of Higher Education,GIHE,UAS Inst.,Route de Glion,111,1823,Glion-sur-Montreux,46.4324,6.9216,Glion Institute of Higher Education,Institut de hautes études de Glion,Glion Institute of Higher Education,https://ror.org/057gs9r51,Q949406,No,No,No,grid.462349.e,0000 0000 8834 6516,,,,Glion Institute of Higher Education,I2802806793,I2802806793,
HWZ University of Applied Sciences in Business Administration,HWZ,UAS,Lagerstrasse,5.0,8021.0,Zurich,47.3783,8.5327,Hochschule für Wirtschaft Zürich,Haute école de gestion de Zurich,Scuola universitaria di economia di Zurigo,https://ror.org/02ejkey04,Q1488771,No,No,No,grid.449909.9,0000 0001 0008 3713,,2657896.0,HWZ,Hochschule für Wirtschaft Zürich HWZ,I197141962,I197141962,openorgs____::a676eb54dd9515d60744898edb080154
Les Roches Global Hospitality Education,LRGHE,UAS Inst.,Route des Moulinettes,2,3975,Bluche,46.3070,7.4838,Les Roches Global Hospitality Education,Les Roches Global Hospitality Education,Les Roches Global Hospitality Education,https://ror.org/008tr1381,Q6529933,No,No,No,,0000 0004 0390 5606,,,,Les Roches Global Hospitality Education,,,
SBS Swiss Business School,SBS,UAS Inst.,Flughafenstrasse,3,8302,Kloten,47.4515,8.5849,SBS Swiss Business School,SBS Swiss Business School,SBS Swiss Business School,https://ror.org/051qmsg29,Q7389005,No,No,No,,0000 0004 0435 0681,,2660127.0,SBS,Swiss Business School SBS,I4399598389,I4399598389,openorgs____::0de33f5fa55f31cb73fb43e84ba2616a
Swiss Federal Institute of Sport Magglingen SFISM,SFISM,UAS Inst.,Hauptstrasse,247,2532,Magglingen,47.139,7.2141,Swiss Federal Institute of Sport Magglingen SFISM,Swiss Federal Institute of Sport Magglingen SFISM,Swiss Federal Institute of Sport Magglingen SFISM,https://ror.org/00c9w1q32,Q33121317,No,No,No,grid.483323.d,,,2659791.0,SFISM,Swiss Federal Institute of Sport Magglingen SFISM,I4210097597,I4210097597,
Swiss UMEF,SUMEF,UAS Inst.,Route d'Aïre,185-187,1219,Aïre,46.2022,6.1457,Swiss UMEF,Swiss UMEF,Swiss UMEF,https://ror.org/032aw4s87,Q28224938,No,No,No,,,,2660646.0,SUMEF,Swiss UMEF,I4399657977,I4399657977,openorgs____::73bfaf94abdefe88a3374cf0983b935e
